,0
sep_11_10,5.456624744660112e-31
m_t0.1_11_1,5.60342492159745e-31
h1_n_b_m_t0.25_10_7,5.828337976041705e-31
h1_nb_10_7,5.828337976041705e-31
h1_n_b_l_t0.95_11_4,6.127851652424128e-31
m_t0.25_11_11,6.621801458471471e-31
e_t0.1_11_11,6.86132548036244e-31
h1_n_b_m_t0.25_11_4,7.284744542041801e-31
h1_nb_11_4,7.284744542041801e-31
v_t0.05_11_11,7.79305105167257e-31
b0_t0.75_10_4,7.823804105040401e-31
h1_n_b_l_t0.95_11_2,8.318489237723513e-31
h1_t_b_11_4,8.862723919388377e-31
h1_n_b_m_t0.25_11_7,9.298829011059231e-31
h1_nb_11_7,9.298829011059231e-31
h1_n_b_l_t0.95_11_7,9.783047514052106e-31
h1_e_10_11,1.1065439862258692e-30
e_t0.025_11_1,1.1586527226999724e-30
prev_10_11,1.2943058002644481e-30
h1_v_10_11,1.3473588278342119e-30
c_t0.1_11_3,1.3848619255883425e-30
h1_n_b_l_t0.95_10_6,1.4139296253762904e-30
m_t0.25_11_10,1.451664809099992e-30
k_t0.1_11_5,1.4793635599881737e-30
h1_v_10_6,1.4951333548329794e-30
e_t0.1_11_4,1.526138867678506e-30
sep_11_9,1.5713441330573377e-30
c_t0.05_11_1,1.7438391853951816e-30
h1_v_11_2,1.807079387455856e-30
h1_v_9_5,1.8431250342775924e-30
v_t0.025_10_8,1.863804944289003e-30
h1_v_10_1,1.9581983859188605e-30
k_t0.1_10_11,2.0657625969887415e-30
b1_t0.1_10_4,2.1184281793681315e-30
e_t0.025_10_11,2.2325995906224585e-30
v_t0.1_11_10,2.4349153519594765e-30
h1_s_10_6,2.445254129013145e-30
k_t0.05_11_4,3.2165171634756036e-30
c_t0.05_10_10,3.235606758452516e-30
c_t0.025_10_10,3.257603528995966e-30
v_t0.025_11_4,3.291624334288884e-30
h1_v_10_2,3.6134322654313424e-30
v_t0.05_11_6,3.896338317872212e-30
e_t0.025_11_4,4.58724934259853e-30
c_t0.1_11_6,5.3487541106835464e-30
prev_10_1,5.655823935355022e-30
h1_n_b_m_t0.25_11_2,5.838443820475809e-30
h1_nb_11_2,5.838443820475809e-30
h0_n_d_m_t0.5_11_5,6.385699260164989e-30
b0_t0.5_11_5,6.48046240538583e-30
prev_10_6,6.57101669737327e-30
h1_e_11_1,6.701800645746207e-30
sep_10_11,6.831263324799287e-30
h1_e_9_5,7.274141288889557e-30
e_t0.05_11_5,7.301790199322342e-30
h1_e_11_9,8.506088319410235e-30
h0_n_d_m_t0.75_11_7,9.359511114497067e-30
b0_t0.25_11_7,9.535438784309816e-30
b1_t0.05_11_5,9.59743139419256e-30
b1_t0.05_10_6,1.0011184951354115e-29
h1_n_b_l_t0.95_11_9,1.0039533070135151e-29
b1_t0.025_11_1,1.1136925423557826e-29
h1_n_b_m_t0.25_11_9,1.2048543093542921e-29
h1_nb_11_9,1.2048543093542921e-29
self_10_6,1.2295119083069882e-29
h1_t_b_11_11,1.2328289453527894e-29
b1_t0.1_10_10,1.301467521507264e-29
