,0
s_t0.025_10_5,4.938093782976107e-13
e_t0.25_11_6,5.223981499765803e-13
b1_t0.05_11_0,6.654987156834454e-13
m_t0.025_10_3,6.872367035407504e-13
h1_s_11_10,8.747084991209631e-13
e_t0.1_11_7,9.942229012649472e-13
m_t0.05_11_2,1.4599690508073985e-12
k_t0.25_11_0,1.8182866253727892e-12
m_t0.25_11_11,1.8738087272724163e-12
e_t0.25_11_8,1.973922799431903e-12
c_t0.75_10_3,2.3835884440205923e-12
b1_t0.75_10_3,2.3835884440205923e-12
m_t0.1_11_7,2.4010988079967828e-12
e_t0.1_11_1,2.7056406436656715e-12
s_t0.025_11_2,2.728863507331763e-12
dot_9_6,2.785099690790219e-12
e_t0.05_11_1,3.3524080794186873e-12
c_t0.25_11_0,3.622297039147547e-12
beginning_9_11,3.880162448177105e-12
h1_n_b_l_t0.70_10_7,4.151310178597567e-12
s_t0.1_10_6,4.446447374628566e-12
h0_t_d_11_7,4.904241333633635e-12
e_t0.05_11_10,5.2119881576063074e-12
h1_t_b_11_9,5.699012051430594e-12
b1_t0.05_11_6,6.152308793590683e-12
c_t0.025_10_8,6.615709660907628e-12
c_t0.1_11_1,7.325737265714303e-12
h0_t_d_11_0,7.759537164170296e-12
h1_t_b_11_5,7.926913425093344e-12
b1_t0.1_11_10,7.986628160551275e-12
b1_t0.1_11_7,8.493346748787617e-12
b0_t0.1_10_11,8.556117521888489e-12
next_11_8,8.568673004729184e-12
b0_t0.5_11_7,9.183457692299879e-12
prev_11_8,9.625698617761426e-12
h1_t_b_10_10,1.0443193570595571e-11
k_t0.05_11_2,1.1177766150405052e-11
m_t0.025_11_7,1.1560058254891434e-11
s_t0.05_10_7,1.2120888270259637e-11
b1_t0.05_10_3,1.280441088819151e-11
e_t0.025_11_5,1.4555108642709315e-11
h0_n_d_m_t0.5_11_7,1.5317931939266526e-11
b1_t0.25_10_1,1.7326692203535645e-11
m_t0.5_11_3,1.8325829286901982e-11
c_t0.1_8_0,1.9980220484699407e-11
sep_9_4,2.079311698523381e-11
e_t0.025_10_3,2.4801169743848306e-11
e_t0.25_11_7,2.524185289147632e-11
sep_9_8,2.915530197812085e-11
h0_t_d_9_2,3.061335243883861e-11
c_t0.1_11_9,3.348299844438345e-11
b0_t0.25_11_8,3.36299393545179e-11
sep_10_1,3.364326204978684e-11
k_t0.1_10_6,3.392853445561312e-11
prev_11_6,3.434530367053837e-11
h0_n_d_m_t0.75_11_8,3.5218158618439684e-11
b1_t0.25_11_1,3.705405892393826e-11
b1_t0.25_10_8,4.054087637633632e-11
c_t0.5_10_7,4.5281577204919175e-11
b1_t0.5_10_7,4.5281577204919175e-11
h0_t_d_10_7,4.693217424259058e-11
b1_t0.25_11_10,4.993466298153453e-11
sep_9_3,5.658701365225403e-11
c_t0.5_11_10,5.7951999107282974e-11
b1_t0.5_11_10,5.7951999107282974e-11
h1_v_11_1,5.888312843462143e-11
k_t0.1_11_6,6.59840396681674e-11
b0_t0.5_11_10,6.612722624507106e-11
e_t0.25_11_10,6.853765552826017e-11
sep_10_10,7.733447844861875e-11
c_t0.05_10_5,8.265640856490354e-11
b1_t0.25_11_2,8.675413450172999e-11
h1_n_b_m_t0.25_11_9,8.69695668549104e-11
h1_n_b_l_t0.95_11_9,8.69695668549104e-11
h1_nb_11_9,8.69695668549104e-11
s_t0.025_10_11,9.48076598173131e-11
b0_t0.5_11_1,9.557239694936912e-11
b0_t0.25_10_2,9.866169260131873e-11
h0_n_d_m_t0.75_10_2,1.1041703077985368e-10
h0_n_d_m_t0.5_11_10,1.2270657268897403e-10
h1_s_8_9,1.2574150587314208e-10
dot_10_11,1.3521637469602607e-10
k_t0.1_11_2,1.407952551075072e-10
h1_s_9_11,1.6042910512163704e-10
v_t0.25_10_5,1.6328529209595172e-10
h0_n_d_m_t0.5_11_1,1.6586882730500622e-10
c_t0.05_10_9,1.675510608533516e-10
h1_t_b_10_7,1.6846843351334946e-10
e_t0.1_11_0,1.7296538092760842e-10
b1_t0.25_11_8,1.9454261601428414e-10
k_t0.05_11_9,2.0059441457553258e-10
c_t0.05_11_3,2.0735872280314297e-10
v_t0.1_11_0,2.2558080195176035e-10
h0_t_d_11_5,2.488119035063618e-10
v_t0.25_10_8,2.6200670524891815e-10
e_t0.025_11_1,2.686515560866187e-10
sep_8_0,2.6904532026049655e-10
k_t0.025_10_3,2.7328772444609127e-10
b0_t0.1_10_7,3.191683687656944e-10
v_t0.1_10_10,3.253871572254989e-10
b1_t0.5_10_2,3.3891379064217965e-10
h1_t_b_10_6,3.539336351846798e-10
h1_e_11_5,3.5608477154007415e-10
k_t0.1_11_11,3.636892938983274e-10
dot_9_8,3.707611371391787e-10
b0_t0.1_9_2,4.0134652777814026e-10
dot_9_5,4.0647118586289817e-10
b1_t0.05_11_3,4.0755841331559233e-10
s_t0.025_11_11,4.1428651357630296e-10
m_t0.25_10_3,4.288923560144858e-10
c_t0.025_10_4,4.342711468033095e-10
c_t0.5_10_2,4.361536652536168e-10
b1_t0.25_11_3,4.913402818749781e-10
c_t0.05_10_2,4.970492600941886e-10
b1_t0.75_10_2,5.194460251962212e-10
m_t0.025_11_10,5.326392478004745e-10
c_t0.75_10_2,6.373533609587326e-10
h1_t_b_11_8,7.162613630360786e-10
b0_t0.1_10_6,7.195375966500221e-10
b1_t0.25_11_7,7.449818470935064e-10
self_11_2,7.461529278847698e-10
beginning_9_7,7.608896799622938e-10
v_t0.1_11_6,7.706020105331516e-10
self_10_2,8.068239265514582e-10
b1_t0.1_10_10,8.189531072711848e-10
v_t0.5_10_7,1.0473362143868247e-09
c_t0.025_8_0,1.1530034969165154e-09
b0_t0.5_11_5,1.3992829593016423e-09
h1_s_11_7,1.4075838082581322e-09
b1_t0.05_11_11,1.4081570274419318e-09
h0_n_d_m_t0.5_11_5,1.540452124381803e-09
s_t0.025_11_9,1.7145903036774643e-09
h1_e_9_11,1.7958143809332021e-09
c_t0.025_10_5,1.8216956104612956e-09
sep_9_5,1.8409635105603375e-09
next_8_9,1.916944752635501e-09
e_t0.025_11_7,1.920663414098951e-09
v_t0.25_10_4,1.9805883511765502e-09
v_t0.025_10_2,2.037083426827723e-09
h0_t_d_11_8,2.104530158213806e-09
b1_t0.25_10_5,2.135080115072982e-09
h1_t_b_8_9,2.343622534737696e-09
b1_t0.5_10_11,2.5764096947665438e-09
c_t0.25_11_7,2.6323979681412445e-09
sep_7_3,2.693901145869515e-09
h1_t_b_11_10,2.6942431632177136e-09
h1_e_11_10,2.7521703655377277e-09
s_t0.025_10_4,2.881202949170005e-09
m_t0.05_11_0,2.9805263833366785e-09
sep_10_5,3.1156169576038746e-09
e_t0.025_11_10,3.1175069898900184e-09
h1_e_11_1,3.275086661937956e-09
h1_n_b_m_t0.25_8_9,3.3640961733825976e-09
h1_nb_8_9,3.3640961733825976e-09
sep_7_9,3.6362518902162966e-09
h1_n_b_m_t0.25_9_11,3.6386020561608843e-09
h1_nb_9_11,3.6386020561608843e-09
m_t0.1_11_8,4.126960946282446e-09
m_t0.25_11_3,4.1551592865775455e-09
c_t0.05_8_0,4.585376626966183e-09
b0_t0.05_10_11,4.937059339393853e-09
e_t0.5_10_7,5.297690613160109e-09
c_t0.25_9_11,5.368250835378675e-09
b0_t0.1_10_3,6.1312722406421086e-09
c_t0.1_10_9,6.13380522678044e-09
next_10_6,6.226034918219883e-09
m_t0.5_9_11,6.328092267948547e-09
c_t0.5_10_11,6.381511586874751e-09
m_t0.05_11_3,7.530064864539825e-09
v_t0.025_11_8,8.266206834055222e-09
m_t0.025_11_5,8.351597998847633e-09
m_t0.5_11_11,8.826533789944467e-09
sep_7_10,8.912523051116635e-09
s_t0.05_10_2,9.004526126937188e-09
v_t0.025_7_9,9.186461090941165e-09
v_t0.025_7_11,9.274102092608199e-09
c_t0.25_10_2,9.335148992202539e-09
next_9_11,9.77806480640183e-09
c_t0.1_10_2,1.0880608625538168e-08
s_t0.025_9_2,1.1127758369164424e-08
h1_s_11_8,1.1313835475974993e-08
c_t0.5_11_2,1.1658754440950608e-08
b1_t0.5_11_2,1.1658754440950608e-08
