,0
v_t0.5_11_5,0.00018565258873769202
b1_t0.25_9_4,0.00018705615454802345
v_t0.5_8_10,0.00019513812270527495
dot_10_6,0.0001980269927965733
b0_t0.25_8_2,0.00019877098421613984
h0_n_d_m_t0.75_8_2,0.00019877098421613984
k_t0.025_11_0,0.000199420879486584
b0_t0.5_10_1,0.00020196966509043046
m_t0.5_6_9,0.00020437559786799415
self_8_4,0.00020474596509288245
h0_n_d_m_t0.5_10_1,0.00021579908625195415
b0_t0.25_10_3,0.00022107201179594717
next_9_6,0.00022607697637359514
e_t0.25_3_7,0.00023074063438549786
h0_n_d_m_t0.5_8_10,0.00023146312070421553
c_t0.1_11_5,0.00023662918823152368
h0_n_d_m_t0.75_7_5,0.00023724288748935967
h0_n_d_m_t0.75_10_3,0.0002487213779715021
b0_t0.25_7_5,0.0002586514574066876
e_t0.5_7_0,0.00026002621477833315
e_t0.5_10_11,0.0002616039911474369
v_t0.75_10_10,0.00026806297359105875
b1_t0.1_9_4,0.0002812102901021257
h1_n_b_l_t0.70_10_5,0.00028921146609933447
h1_s_10_8,0.00028977710913311955
sep_10_0,0.00029255774867098636
b1_t0.25_10_2,0.0002947620844631364
b0_t0.05_11_0,0.0002975525159840382
m_t0.75_10_10,0.0003011272842922696
dot_10_1,0.00032469144862971075
h1_t_b_10_8,0.0003338491236246807
v_t0.025_10_3,0.00033791678762166055
c_t0.05_11_9,0.00034268240237981704
beginning_8_1,0.00034769900996294034
h0_n_d_l_t0.25_8_10,0.00036306678383403245
v_t0.025_11_6,0.00037365133093753277
e_t0.75_7_1,0.0003858710469918713
m_t0.75_10_9,0.0004019633468305844
h0_n_d_l_t0.25_10_10,0.00040633656964402014
beginning_10_4,0.00040659120159767853
s_t0.025_9_8,0.0004090136486894192
v_t0.75_7_1,0.00042203930860488717
h0_n_d_m_t0.75_9_4,0.0004237443641779147
e_t0.75_10_10,0.00042616132040032047
k_t0.025_10_2,0.000431299916160299
h0_n_d_l_t0.25_10_9,0.00043212314922825163
v_t0.75_9_8,0.0004334676045103336
dot_7_10,0.00043393205466477644
m_t0.05_11_8,0.00044715419322347586
e_t0.75_9_8,0.00045082256904108
h1_n_b_m_t0.25_10_8,0.0004615187693548052
h1_nb_10_8,0.0004615187693548052
beginning_8_6,0.000461680227614802
b0_t0.25_9_4,0.00046891999220747166
c_t0.1_9_8,0.0004689561758034961
s_t0.025_7_2,0.0004793475885840765
v_t0.05_11_9,0.00048794618056155665
e_t0.5_8_10,0.0005060863309464949
h1_v_9_1,0.0005085354495633933
v_t0.05_8_10,0.0005098336479333579
self_8_10,0.0005145488559577725
v_t0.5_10_11,0.0005479299557071948
s_t0.025_9_5,0.0005484217783259999
c_t0.75_7_8,0.0005743765842039696
b1_t0.75_7_8,0.0005743765842039696
sep_10_10,0.0005754397829136819
v_t0.05_10_11,0.0005915312960368387
b1_t0.5_7_8,0.0006197062837696713
next_8_1,0.0006197334080403259
c_t0.05_10_10,0.0006207292592882883
c_t0.5_8_0,0.0006220158415332838
b1_t0.5_8_0,0.0006220158415332838
sep_10_5,0.0006582835941145165
m_t0.75_10_1,0.000662956948374778
s_t0.025_7_8,0.0006663335761173531
e_t0.1_9_5,0.0006701716285446569
next_10_1,0.0006800739787843863
v_t0.05_11_8,0.0006851685207194083
m_t0.1_9_5,0.0006894020439745708
dot_8_8,0.0006995356769167575
c_t0.1_9_11,0.0007092762197241919
c_t0.5_7_8,0.0007268508318896942
m_t0.05_9_5,0.0007268576045272822
beginning_8_5,0.0007409623372082918
b0_t0.1_7_11,0.0007425021496323315
b1_t0.25_8_9,0.0007472845482338586
b1_t0.75_7_10,0.0007571562250506788
m_t0.75_11_11,0.0008152193494329392
b1_t0.75_10_9,0.0008186661653138092
c_t0.1_7_8,0.0008299231809485013
v_t0.5_9_4,0.00083392638848445
h0_s_9_4,0.0008400982568739077
c_t0.1_10_8,0.0008433196713687781
beginning_8_4,0.0008534503498926329
h0_t_d_10_2,0.0008648914201220409
m_t0.025_11_8,0.0008940647504232099
self_7_1,0.0008957769558691833
v_t0.75_7_4,0.000905494424039859
e_t0.75_7_4,0.0009059594327784352
s_t0.1_7_0,0.0009214162260158644
e_t0.25_3_5,0.0009303559883179735
e_t0.5_9_8,0.0009325479444278576
prev_9_0,0.0009371179241470294
next_2_5,0.0009474706982647862
v_t0.1_10_4,0.0009557955688698695
h1_n_b_m_t0.25_11_11,0.0009806458409420777
h1_nb_11_11,0.0009806458409420777
c_t0.75_10_9,0.0009846516498428818
h1_n_b_l_t0.95_11_11,0.0010041413553768758
b1_t0.1_10_1,0.0010483945913526463
h1_n_b_l_t0.95_10_8,0.00110028613220392
c_t0.75_7_10,0.0011198294664410782
b1_t0.25_11_7,0.0011201097852545625
h0_n_d_l_t0.25_10_1,0.0011382049169194172
s_t0.05_9_5,0.0011514406705873772
h0_n_d_m_t0.5_7_5,0.001158149790728449
c_t0.75_7_4,0.0011586475220429718
b1_t0.75_7_4,0.0011586475220429718
beginning_10_7,0.0011737629808420934
b1_t0.5_10_11,0.0012061204548094275
prev_11_3,0.0012079599663272218
v_t0.05_7_8,0.0012147966952778548
c_t0.5_10_11,0.0012488538516878132
k_t0.025_11_6,0.001257433095697187
m_t0.25_9_4,0.001260042988495555
b0_t0.5_7_5,0.0012731748229734099
c_t0.75_7_1,0.0013049152645329652
b1_t0.75_7_1,0.0013049152645329652
prev_2_5,0.00132601456533261
e_t0.75_4_8,0.001363477649983673
c_t0.75_4_8,0.001363477649983673
b1_t0.75_4_8,0.001363477649983673
s_t0.1_10_2,0.0013679052349406576
prev_0_10,0.0013756280640282316
b0_t0.1_11_10,0.001385942733055008
e_t0.75_6_6,0.001401424543154058
next_10_2,0.0014065672134121368
m_t0.75_8_10,0.0014363205958684343
v_t0.1_10_10,0.0014434809988600726
dot_9_7,0.0014442571205319586
next_9_11,0.0014810576659792564
h1_t_b_3_5,0.001503102643121507
b1_t0.05_10_3,0.0015143010939007771
v_t0.75_10_1,0.001519724728539075
v_t0.1_7_8,0.001521221831651933
v_t0.025_9_11,0.001523810868800955
c_t0.25_10_3,0.0015295095026832074
s_t0.025_7_10,0.0015684357620342078
sep_8_11,0.00157343799409295
v_t0.5_7_8,0.0016147729366418168
b1_t0.25_3_7,0.0016636365996435531
m_t0.5_9_4,0.001666564237511445
m_t0.75_7_4,0.001679118296101192
next_8_0,0.0016817677321255137
v_t0.75_7_0,0.0017062392167488478
b1_t0.05_11_8,0.0017153195092774883
self_11_6,0.0017188598453629612
h0_n_d_l_t0.25_7_4,0.0017386365697743325
v_t0.75_7_9,0.00175863584260014
c_t0.75_7_0,0.0017605916585197781
b1_t0.75_7_0,0.0017605916585197781
e_t0.75_10_1,0.0018010791116936954
h1_e_10_8,0.001802114746450087
c_t0.05_10_11,0.001816670743768763
k_t0.025_11_4,0.0018407724983953825
b1_t0.25_9_1,0.0018514465663818985
v_t0.1_9_7,0.001885957660777984
e_t0.75_7_9,0.0019076054526939135
b0_t0.25_10_1,0.0019171236498197728
e_t0.5_7_8,0.001923854425425205
s_t0.05_9_9,0.0019365093611468617
c_t0.75_6_6,0.0019381128806598479
b1_t0.75_6_6,0.0019381128806598479
c_t0.25_9_4,0.0019480450638354044
dot_7_4,0.001967521591689728
v_t0.5_6_4,0.001987584592253923
